Call,WER,Total GT NERs,Total Ref NERs,Unique GT NERs,Unique Ref NERs,Total Concerned GT NERs (PERSON/ORG),Total Concerned Ref NERs (PERSON/ORG),Unique Concerned GT NERs,Unique Concerned Ref NERs
03261666-7d82-49ec-8d6e-78c2f716ad73,0.1977,6.0,9.0,4.0,7.0,1.0,1.0,1.0,1.0
03856e6b-6925-4012-8eb8-0a0289019b7e,0.1686,19.0,34.0,10.0,22.0,10.0,11.0,4.0,6.0
09f69426-e7e6-4f2a-a20a-75416d945306,0.1871,40.0,40.0,23.0,20.0,7.0,6.0,7.0,6.0
1bf3729b-c0a7-4f65-a846-88c8aa31a473,0.1475,13.0,13.0,4.0,4.0,9.0,2.0,2.0,1.0
268dbd88-173b-41a1-8363-4a6ba62b9aae,0.0661,16.0,23.0,4.0,7.0,5.0,3.0,3.0,2.0
332017b6-9f62-444d-a657-7b733bc727fc,0.1847,12.0,16.0,8.0,12.0,4.0,4.0,2.0,2.0
3502253e-259a-42d3-ab70-7aedabeb81fa,0.1471,42.0,36.0,25.0,19.0,5.0,4.0,5.0,4.0
429ac8a5-6f19-46b3-97bb-8e55feec389e,0.4683,20.0,28.0,12.0,16.0,3.0,3.0,2.0,2.0
482181f8-15e2-4ced-8a9a-67facdd9c6fc,0.0373,13.0,13.0,8.0,9.0,1.0,1.0,1.0,1.0
5cdef144-9d6a-4100-9be6-8489f90fc466,0.1036,24.0,30.0,14.0,16.0,7.0,7.0,5.0,5.0
5f4d919f-b1bc-4a3d-9d98-1f8279d51215,0.0491,20.0,24.0,11.0,16.0,5.0,5.0,4.0,4.0
750dfc05-c2c4-4937-a85d-46f597dc9880,0.0126,29.0,17.0,22.0,9.0,6.0,2.0,6.0,2.0
79e02e46-ea93-4669-9dc1-6c4339dcc6ba,0.1022,15.0,16.0,11.0,13.0,2.0,2.0,2.0,2.0
7bbd5f06-2ac0-4227-be76-4ce7ef7cb567,0.0669,27.0,27.0,16.0,16.0,4.0,5.0,3.0,4.0
7fd6b5f9-8b11-4085-b864-a16f92504e53,0.2421,19.0,18.0,5.0,8.0,1.0,5.0,1.0,4.0
8daee0cc-cbda-4cdf-b8ed-f120e3329138,0.1485,12.0,13.0,9.0,8.0,3.0,3.0,2.0,2.0
99d176ec-e484-4937-ae0b-9d6d2d7cb5c5,0.0645,9.0,13.0,5.0,8.0,6.0,2.0,3.0,1.0
a26f3d38-ed43-4289-8d34-9ee376fb779d,0.0993,28.0,23.0,12.0,13.0,0.0,2.0,0.0,2.0
b94c0a58-b1c3-4bc8-ba02-0848b0a2af8f,0.0764,12.0,33.0,5.0,18.0,2.0,7.0,2.0,5.0
c5f1aee1-8170-4c1b-93e0-1f8366882689,0.6628,29.0,11.0,8.0,6.0,17.0,1.0,3.0,1.0
d24a5dc2-ac06-4f13-bbd1-5ec010d8d27c,0.0581,29.0,39.0,19.0,27.0,7.0,10.0,6.0,8.0
d521ea56-2e7b-4908-8cca-acf4a0f89337,0.0779,18.0,17.0,12.0,10.0,5.0,2.0,5.0,2.0
d7c521ce-dbcb-4c23-a776-66b38d8127b4,0.1923,21.0,22.0,16.0,15.0,1.0,1.0,1.0,1.0
d9aa182c-b21e-4ad5-8138-18d0e9f69b84,0.1581,19.0,18.0,17.0,17.0,3.0,8.0,2.0,7.0
e69e62f6-954a-4d0a-9989-2a2d562f66fe,0.0895,12.0,16.0,8.0,12.0,1.0,1.0,1.0,1.0
eacbcb92-6172-41f7-b2a9-0c4df5a3a597,0.0851,23.0,21.0,15.0,14.0,3.0,3.0,2.0,2.0
ec85480e-604c-4070-938f-b832e4904e9e,0.1049,27.0,19.0,16.0,10.0,9.0,4.0,5.0,2.0
